0M,,1M,,2M,,3M,,4M,,5M,,2.5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
317.9599915,453.0814819,317.9599915,479.1186829,317.9599915,414.5881348,317.9599915,196.111618,317.9599915,197.805069,317.9599915,192.425705,317.9599915,285.2072144,
319.0599976,479.6828918,319.0599976,504.5471191,319.0599976,439.0881958,319.0599976,216.2882996,319.0599976,223.1856384,319.0599976,213.6890869,319.0599976,305.8542786,
320,500.9567871,320,527.1600952,320,461.9917603,320,233.2779846,320,239.0033264,320,229.7266693,320,322.768158,
321.0700073,522.8994141,321.0700073,551.883728,321.0700073,485.8267212,321.0700073,257.8031311,321.0700073,263.835907,321.0700073,254.2213745,321.0700073,351.2947998,
322,546.2369995,322,568.0303345,322,503.7232666,322,281.0291443,322,283.8503113,322,275.5175171,322,368.6628113,
323.0700073,568.1217041,323.0700073,593.7866821,323.0700073,523.81604,323.0700073,298.3664551,323.0700073,311.6165771,323.0700073,303.670166,323.0700073,396.669281,
324,583.9091797,324,610.4171753,324,545.7823486,324,321.6465454,324,335.6019592,324,325.5879822,324,413.8343201,
325.0700073,602.0610962,325.0700073,628.0385132,325.0700073,561.1486816,325.0700073,345.8901367,325.0700073,362.976532,325.0700073,349.1078796,325.0700073,445.2834167,
326,613.7922974,326,635.6607666,326,576.0253296,326,368.890564,326,385.4221191,326,370.8353577,326,462.6551514,
327.0700073,622.7875366,327.0700073,653.302002,327.0700073,591.1618042,327.0700073,391.8746643,327.0700073,411.9859314,327.0700073,394.9685669,327.0700073,482.8138123,
328,628.5443726,328,653.571106,328,604.541748,328,409.934021,328,425.2007751,328,420.4155884,328,505.7440491,
329.0700073,637.4749146,329.0700073,663.776062,329.0700073,612.815979,329.0700073,437.5049438,329.0700073,451.6674194,329.0700073,441.4812927,329.0700073,522.7618408,
330,651.633606,330,666.3720093,330,627.7612915,330,452.6898804,330,474.236969,330,461.3450012,330,537.862854,
330.9299927,642.1923218,330.9299927,661.9151001,330.9299927,630.1266479,330.9299927,470.9468689,330.9299927,495.4129333,330.9299927,486.0678711,330.9299927,561.8448486,
332.0299988,647.5483398,332.0299988,677.0961304,332.0299988,635.7074585,332.0299988,484.4839478,332.0299988,517.6654053,332.0299988,505.7219849,332.0299988,572.6901245,
332.9599915,653.8739624,332.9599915,675.052063,332.9599915,641.7524414,332.9599915,506.5206909,332.9599915,536.3141479,332.9599915,523.8675537,332.9599915,587.4124756,
334.0599976,652.4247437,334.0599976,673.1439209,334.0599976,642.8925171,334.0599976,520.5952148,334.0599976,558.2935791,334.0599976,543.2023926,334.0599976,599.4631958,
335,650.7773438,335,671.9700317,335,645.458252,335,539.0982056,335,570.3504639,335,557.8171387,335,615.0212402,
335.9299927,647.7269287,335.9299927,667.5817871,335.9299927,650.9370728,335.9299927,552.4960327,335.9299927,591.0657349,335.9299927,572.1574097,335.9299927,624.7440796,
337.0299988,650.7844849,337.0299988,661.1644897,337.0299988,654.2432251,337.0299988,566.6043701,337.0299988,608.8353271,337.0299988,596.2606201,337.0299988,643.7219238,
337.9599915,656.3967285,337.9599915,658.4061279,337.9599915,655.2732544,337.9599915,583.1625977,337.9599915,626.7337646,337.9599915,609.1290894,337.9599915,653.7190552,
339.0599976,641.8775024,339.0599976,648.687439,339.0599976,649.3803711,339.0599976,603.0139771,339.0599976,645.1449585,339.0599976,633.5462646,339.0599976,666.7180176,
340,634.3641357,340,654.3233032,340,651.8474121,340,611.7443237,340,661.0770874,340,651.0830078,340,677.6824341,
341.0700073,625.6040039,341.0700073,642.4314575,341.0700073,644.2910767,341.0700073,633.4956055,341.0700073,679.6694336,341.0700073,656.0269165,341.0700073,683.7737427,
342,616.2493896,342,637.7058716,342,649.2993164,342,644.7576904,342,693.4151001,342,678.4598999,342,693.2541504,
343.0700073,616.9425049,343.0700073,628.8043823,343.0700073,642.4691162,343.0700073,663.7059326,343.0700073,712.6019287,343.0700073,694.5281982,343.0700073,700.9227905,
344,608.0187988,344,622.6775513,344,636.0203247,344,674.2734985,344,728.5712891,344,709.270813,344,717.3978882,
345.0700073,603.8653564,345.0700073,616.8039551,345.0700073,637.526123,345.0700073,684.6005859,345.0700073,732.9546509,345.0700073,719.3953247,345.0700073,719.2663574,
346,590.5372925,346,606.0130615,346,636.2402344,346,693.5076294,346,747.7289429,346,733.7401123,346,721.7961426,
