0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
413.0700073,62.01333237,413.0700073,40.45310593,413.0700073,29.28143311,413.0700073,22.0499897,413.0700073,18.01538086,413.0700073,12.98477173,413.0700073,8.087978363,413.0700073,4.106229782,413.0700073,1.300586104,413.0700073,0.8189855814,413.0700073,0.3602647185,413.0700073,0.1396146715,
414,69.55099487,414,44.32812119,414,32.96930313,414,24.97814941,414,20.33580971,414,14.85743141,414,9.019278526,414,4.63320446,414,1.310695291,414,0.7782101035,414,0.4656035304,414,-0.01885298453,
415.0700073,78.91714478,415.0700073,51.50317001,415.0700073,37.24562073,415.0700073,28.48432922,415.0700073,22.98375893,415.0700073,16.91078568,415.0700073,10.70336342,415.0700073,5.282070637,415.0700073,1.79917419,415.0700073,0.9833599925,415.0700073,0.5529007912,415.0700073,0.1957904994,
416,84.95174408,416,55.27756119,416,40.20502853,416,31.38662529,416,25.74773026,416,18.93459892,416,11.641325,416,5.717171669,416,1.848428845,416,1.018329978,416,0.6522770524,416,0.2996591628,
417.0700073,96.00099182,417.0700073,63.89009857,417.0700073,46.78808212,417.0700073,35.03553772,417.0700073,29.19007874,417.0700073,22.06565857,417.0700073,12.88833427,417.0700073,6.330554485,417.0700073,2.16503191,417.0700073,1.203649759,417.0700073,0.605646193,417.0700073,0.2891008854,
418,106.2251968,418,69.924263,418,49.73221207,418,39.40463638,418,32.53021622,418,23.40963173,418,14.89523315,418,7.167692661,418,2.469725847,418,1.062391281,418,0.7606114149,418,0.152700901,
419.0700073,116.2295074,419.0700073,77.44234467,419.0700073,56.80683517,419.0700073,46.1750145,419.0700073,36.2821312,419.0700073,27.9067955,419.0700073,15.70931435,419.0700073,7.71990633,419.0700073,2.840746641,419.0700073,1.262727499,419.0700073,0.6321112514,419.0700073,0.1554303467,
420,132.0589142,420,86.23202515,420,62.59007645,420,50.80831528,420,39.84196854,420,29.63048363,420,18.13481331,420,9.025832176,420,2.877697706,420,1.633648992,420,0.886097908,420,0.1310542375,
421.0599976,145.1896973,421.0599976,96.22022247,421.0599976,70.86982727,421.0599976,57.59923553,421.0599976,45.81294632,421.0599976,34.25787354,421.0599976,21.39911079,421.0599976,9.967694283,421.0599976,3.279405355,421.0599976,1.686109185,421.0599976,0.8603115678,421.0599976,0.1887006015,
421.9599915,161.8952484,421.9599915,106.9270859,421.9599915,77.76782227,421.9599915,63.59662247,421.9599915,49.52326202,421.9599915,36.45576477,421.9599915,22.78246117,421.9599915,11.4577446,421.9599915,3.608344316,421.9599915,1.660019875,421.9599915,0.7477334738,421.9599915,0.1122418493,
423.0299988,174.2183075,423.0299988,117.2129517,423.0299988,87.16389465,423.0299988,70.11717987,423.0299988,55.1986618,423.0299988,41.09404755,423.0299988,25.72421265,423.0299988,12.95825005,423.0299988,4.208017826,423.0299988,2.090519428,423.0299988,0.804150939,423.0299988,0.269230783,
423.9299927,191.0873566,423.9299927,126.389328,423.9299927,95.63559723,423.9299927,77.34457397,423.9299927,60.95558548,423.9299927,45.76171112,423.9299927,27.64355469,423.9299927,13.85805988,423.9299927,4.629716396,423.9299927,2.027142286,423.9299927,0.8301663995,423.9299927,0.2316647023,
425,212.4420471,425,141.8718872,425,105.8321609,425,83.3381958,425,67.43920898,425,49.94626236,425,30.18941498,425,15.34985924,425,5.024940968,425,2.475782633,425,1.162376523,425,0.2634725869,
